พื้นที่,เนื้อที่ยืนต้นทั้งหมด,,,ผลผลิตที่เก็บเกี่ยวได้
,(ไร่),,,(กิโลกรัม)
,ให้ผลผลิต,ยังไม่ให้ผล,รวม (ไร่),
,,,,
ทุเรียน,20,105,125,"32,000.00"
ฝรั่ง,278,0,278,"395,200.00"
มะขามเทศ,4,0,4,"3,200.00"
มะนาว,246,111,357,"429,700.00"
มะม่วง,"2,139.00",768,"2,907.00","712,000.00"
มะละกอ,140,5,145,"405,600.00"
ลำไย,50,50,100,"80,000.00"
แก้วมังกร,20,0,20,"32,000.00"
ไม้ยืนต้น,"30,144.50","18,904.00","49,048.50","24,223,270.00"
ปาล์มน้ำมัน,"7,696.50","3,940.00","11,636.50","9,861,762.00"
มะพร้าว,"16,859.00","11,947.00","28,806.00","13,890,424.00"
ยางพารา,"5,569.00","3,017.00","8,586.00","423,084.00"
ไผ่,20,0,20,"48,000.00"
หม่อน,0,0,0,0
ทับสะแก,"141,879.00","16,456.00","158,335.00","128,920,267.19"
ไม้ผล,"1,931.00",757.25,"2,688.25","3,051,543.90"
กล้วยน้ำว้า,"1,257.00",496,"1,753.00","1,931,128.00"
กล้วยหอม,0,1.25,1.25,0
ขนุนหนัง,0,15,15,0
ทุเรียน,0,6.75,6.75,0
มะนาว,187,0,187,"262,318.00"
มะม่วง,0,45.75,45.75,0
มะละกอ,487,192.5,679.5,"858,097.90"
ไม้ยืนต้น,"139,948.00","15,698.75","155,646.75","125,868,723.29"
ปาล์มน้ำมัน,"6,337.00","1,211.00","7,548.00","9,746,313.30"
มะพร้าว,"124,952.00","9,304.75","134,256.75","115,252,270.90"
มะม่วงหิมพานต์,0,200,200,0
ยางพารา,"8,659.00","4,669.00","13,328.00","870,139.09"
ไม้ยืนต้นอื่นๆ,0,314,314,0
บางสะพาน,"187,569.98","25,378.03","212,948.01","192,691,211.20"
ไม้ผล,"5,672.00","1,115.00","6,787.00","7,579,800.00"
กล้วยไข่,10,10,20,"22,000.00"
กล้วยน้ำว้า,274,0,274,"1,870,370.00"
กล้วยหอม,65,0,65,"571,850.00"
เงาะ,238,0,238,"325,640.00"
ชมพู่,9,0,9,"4,220.00"
ทุเรียน,"3,804.00",642,"4,446.00","2,840,000.00"
ฝรั่ง,9,2,11,"101,160.00"
มะนาว,26,5,31,"55,910.00"
มะละกอ,30,0,30,"117,000.00"
มังคุด,737,134,871,"1,401,450.00"
ลองกอง,430,322,752,"256,000.00"
สละ,20,0,20,0
ส้มโอ,20,0,20,"14,200.00"
ไม้ยืนต้น,"181,897.98","24,263.03","206,161.01","185,111,411.20"
กาแฟ,465,0,465,"147,500.00"
โกโก้,20,25,45,"20,000.00"
ปาล์มน้ำมัน,"40,303.98","3,796.03","44,100.01","80,156,784.00"
มะพร้าว,"86,290.00","9,408.00","95,698.00","86,377,197.20"
ยางพารา,"54,666.00","11,034.00","65,700.00","18,353,590.00"
สะตอ,143,0,143,"54,340.00"
หมาก,10,0,10,"2,000.00"
บางสะพานน้อย,"509,593.00","43,146.00","552,739.00","365,376,051.26"
ไม้ผล,"1,435.00",528,"1,963.00","1,258,026.80"
เงาะ,118,29,147,"55,026.80"
ทุเรียน,952,448,"1,400.00","1,003,000.00"
มะละกอ,0,0,0,0
มังคุด,200,26,226,"14,000.00"
ลองกอง,165,25,190,"186,000.00"
ไม้ยืนต้น,"508,158.00","42,618.00","550,776.00","364,118,024.46"
กาแฟ,683,221,904,"443,114.00"
ปาล์มน้ำมัน,"150,989.00","4,870.00","155,859.00","286,440,000.00"
มะพร้าว,"25,923.00","1,663.00","27,586.00","28,019,328.46"
ยางพารา,"330,563.00","35,864.00","366,427.00","49,215,582.00"
ปราณบุรี,"34,050.00","17,798.75","51,848.75","59,868,514.67"
ไม้ผล,"14,145.00","3,934.00","18,079.00","44,832,035.00"
กระท้อน,25,10,35,0
กล้วยไข่,35,10,45,"544,000.00"
กล้วยน้ำว้า,"1,861.00",316,"2,177.00","16,047,300.00"
กล้วยหอม,180,59,239,"460,850.00"
ขนุนหนัง,"1,658.00",196,"1,854.00","2,973,280.00"
เงาะ,25,25,50,"16,000.00"
ชมพู่,24,0,24,"3,400.00"
ทุเรียน,209,404,613,"154,000.00"
น้อยหน่า,13,0,13,"10,000.00"
ฝรั่ง,101,24,125,"201,295.00"
มะขาม,28,10,38,"30,800.00"
มะนาว,202,186,388,"384,660.00"
มะม่วง,"9,659.00","2,644.00","12,303.00","23,952,750.00"
มะละกอ,36,7,43,"27,200.00"
มังคุด,40,10,50,0
ลองกอง,15,30,45,"3,000.00"
ละมุด,28,0,28,"23,500.00"
ส้มโอ,2,3,5,0
แก้วมังกร,4,0,4,0
ไม้ยืนต้น,"19,905.00","13,864.75","33,769.75","15,036,479.67"
ปาล์มน้ำมัน,"6,219.00","1,186.75","7,405.75","7,367,126.00"
มะพร้าว,"5,429.00","3,006.00","8,435.00","5,767,543.67"
ยางพารา,"8,230.00","9,451.00","17,681.00","1,899,410.00"
ยูคาลิปตัส,0,23,23,0
สะเดา,0,12,12,0
ไผ่,27,70,97,"2,400.00"
อินทผาลัม,0,6,6,0
ต้นสนประดิพัทธ์,0,110,110,0
หัวหิน,"35,646.00","22,044.00","57,690.00","35,494,609.66"
ไม้ผล,"16,932.00","10,513.00","27,445.00","17,720,144.00"
กระท้อน,20,0,20,0
กล้วยไข่,0,29,29,0
กล้วยน้ำว้า,"2,322.00","2,085.00","4,407.00","3,355,004.00"
กล้วยหอม,"1,537.00","1,510.00","3,047.00","3,409,100.00"
ขนุนหนัง,"2,042.00","1,335.00","3,377.00","4,961,000.00"
เงาะ,50,121,171,"10,000.00"
ทุเรียน,"1,235.00","3,613.00","4,848.00","544,000.00"
ฝรั่ง,20,5,25,"43,800.00"
มะขาม,0,16,16,0
มะนาว,"2,204.00",797,"3,001.00","2,318,240.00"
มะม่วง,"6,853.00",635,"7,488.00","1,995,600.00"
มะยงชิด,0,13,13,0
มะละกอ,222,122,344,"641,000.00"
มังคุด,40,68,108,"8,000.00"
ลองกอง,67,86,153,"13,400.00"
ละมุด,0,3,3,0
ลำไย,8,33,41,"25,000.00"
องุ่น,300,0,300,"360,000.00"
อโวกาโด,12,38,50,"36,000.00"
แก้วมังกร,0,4,4,0
ไม้ยืนต้น,"18,689.00","11,481.00","30,170.00","17,699,465.66"
ปาล์มน้ำมัน,"4,629.00","2,111.00","6,740.00","13,201,350.00"
มะพร้าว,"1,992.00","1,509.00","3,501.00","2,014,113.08"
มะม่วงหิมพานต์,0,12,12,0
ยางพารา,"11,932.00","7,505.00","19,437.00","2,297,502.58"
ยูคาลิปตัส,20,100,120,0
สะตอ,0,13,13,0
ไผ่,109,63,172,"166,500.00"
หม่อน,5,14,19,"20,000.00"
อินทผาลัม,2,4,6,0
ไม้ยืนต้นอื่นๆ,0,150,150,0
สมุนไพรและเครื่องเทศ (รต.02),25,50,75,"75,000.00"
พริกไทย,25,50,75,"75,000.00"
สามร้อยยอด,"60,534.00","15,664.00","76,198.00","88,271,035.41"
ไม้ผล,"32,111.00","5,106.00","37,217.00","52,595,020.00"
กล้วยน้ำว้า,"1,480.00",50,"1,530.00","3,335,800.00"
กล้วยหอม,60,0,60,"422,000.00"
ขนุนหนัง,"5,845.00","3,065.00","8,910.00","42,793,400.00"
ชมพู่,10,6,16,100
ทุเรียน,5,25,30,0
ฝรั่ง,55,0,55,"70,300.00"
มะนาว,30,0,30,"5,200.00"
มะม่วง,"24,559.00","1,958.00","26,517.00","5,343,720.00"
มังคุด,20,0,20,"24,000.00"
ลำไย,2,2,4,500
แก้วมังกร,45,0,45,"600,000.00"
ไม้ยืนต้น,"28,414.00","10,555.00","38,969.00","35,665,215.41"
ปาล์มน้ำมัน,"12,167.00","2,099.00","14,266.00","21,596,530.00"
มะพร้าว,"12,449.00","3,009.00","15,458.00","13,824,795.00"
ยางพารา,"3,796.00","3,047.00","6,843.00","225,890.41"
ยูคาลิปตัส,0,700,700,0
ไผ่,2,0,2,"18,000.00"
ต้นสนประดิพัทธ์,0,"1,700.00","1,700.00",0
สมุนไพรและเครื่องเทศ (รต.02),9,3,12,"10,800.00"
ดีปลี,9,3,12,"10,800.00"
ปราจีนบุรี,"68,987.88","62,372.00","131,359.88","49,378,949.85"
เมืองปราจีนบุรี,"28,998.00","6,158.00","35,156.00","1,591,400.00"
ไม้ผล,"12,094.00","3,115.00","15,209.00","1,591,400.00"
กระท้อน,"2,704.00",44,"2,748.00","193,050.00"
กล้วยไข่,68,20,88,0
กล้วยน้ำว้า,218,182,400,700
กล้วยหอม,3,56,59,0
ขนุนหนัง,600,363,963,0
เงาะ,338,20,358,500
ชมพู่,7,0,7,0
ทุเรียน,"2,162.00",695,"2,857.00","1,255,000.00"
มะดัน,9,0,9,0
มะนาว,"1,468.00",501,"1,969.00",0
มะปรางหวาน,358,312,670,"35,800.00"
มะไฟ,500,7,507,0
มะม่วง,393,86,479,0
มะยงชิด,112,98,210,"14,150.00"
มังคุด,"1,336.00",393,"1,729.00","92,200.00"
ลองกอง,468,219,687,0
ละมุด,10,2,12,0
ลำไย,48,12,60,0
ลิ้นจี่,34,0,34,0
ส้มเขียวหวาน,21,0,21,0
ส้มโอ,"1,237.00",105,"1,342.00",0
ไม้ยืนต้น,"16,834.00","2,983.00","19,817.00",0
ปาล์มน้ำมัน,691,"2,240.00","2,931.00",0
มะพร้าว,20,0,20,0
ยางพารา,47,174,221,0
สะเดา,35,0,35,0
หมาก,76,160,236,0
ไผ่,"15,965.00",409,"16,374.00",0
สมุนไพรและเครื่องเทศ (รต.02),70,60,130,0
สมุนไพรอื่นๆ,70,60,130,0
กบินทร์บุรี,"8,109.00","30,540.00","38,649.00","21,545,100.00"
ไม้ผล,"2,160.00","4,607.00","6,767.00","1,000,000.00"
กระท้อน,20,213,233,0
กล้วยไข่,0,25,25,0
กล้วยน้ำว้า,10,35,45,0
กล้วยหอม,0,1,1,0
ขนุนหนัง,5,100,105,0
เงาะ,0,10,10,0
ชมพู่,10,8,18,0
ทุเรียน,0,45,45,0
มะนาว,225,379,604,0
มะม่วง,130,"1,311.00","1,441.00",0
มะละกอ,675,615,"1,290.00",0
มังคุด,0,50,50,0
ลำไย,"1,030.00","1,133.00","2,163.00","1,000,000.00"
ส้มโอ,55,682,737,0
ไม้ยืนต้น,"5,930.00","25,764.00","31,694.00","20,545,000.00"
ปาล์มน้ำมัน,"2,826.00","12,831.00","15,657.00","20,220,000.00"
มะพร้าว,0,3,3,0
ยางพารา,"1,704.00","5,793.00","7,497.00","325,000.00"
ยูคาลิปตัส,"1,400.00","6,957.00","8,357.00",0
ไผ่,0,105,105,0
อินทผาลัม,0,75,75,0
สมุนไพรและเครื่องเทศ (รต.02),19,169,188,100
กฤษณา,0,150,150,0
สมุนไพรอื่นๆ,19,19,38,100
นาดี,"13,459.00","15,493.00","28,952.00","15,742,614.85"
ไม้ผล,"2,174.00",787,"2,961.00","4,305,480.00"
กระท้อน,425,99,524,"639,800.00"
กล้วยน้ำว้า,303,109,412,"202,500.00"
ขนุนหนัง,272,162,434,"841,180.00"
เงาะ,15,0,15,"15,000.00"
ทุเรียน,133,183,316,"93,000.00"
มะขาม,27,0,27,"5,400.00"
มะนาว,10,0,10,900
มะม่วง,767,223,990,"2,175,000.00"
มะละกอ,5,0,5,0
มังคุด,49,10,59,"20,500.00"
ลองกอง,20,1,21,"10,000.00"
ลำไย,44,0,44,"22,000.00"
ส้มโอ,104,0,104,"280,200.00"
ไม้ยืนต้น,"11,285.00","14,706.00","25,991.00","11,437,134.85"
ปาล์มน้ำมัน,"2,823.00","1,726.00","4,549.00","8,685,100.00"
มะม่วงหิมพานต์,256,349,605,"22,000.00"
ยางพารา,"7,112.00","12,149.00","19,261.00","1,002,294.85"
ไผ่,"1,094.00",482,"1,576.00","1,727,740.00"
บ้านสร้าง,"1,313.00",830,"2,143.00","2,967,318.00"
ไม้ผล,"1,023.00",830,"1,853.00","1,827,948.00"
กล้วยน้ำว้า,229,0,229,"850,080.00"
มะม่วง,794,830,"1,624.00","977,868.00"
ไม้ยืนต้น,290,0,290,"1,139,370.00"
มะพร้าว,290,0,290,"1,139,370.00"
ประจันตคาม,"12,464.88","7,253.00","19,717.88","476,075.00"
ไม้ผล,867.88,604.25,"1,472.13","7,270.00"
กระท้อน,94,97,191,0
กล้วยน้ำว้า,68.5,77,145.5,0
ขนุนหนัง,68.13,11,79.13,0
เงาะ,1,11,12,0
ตะลิงปลิง,1,0,1,0
ทุเรียน,61,69,130,"3,340.00"
มะกรูด,52,0,52,0
มะนาว,39,8,47,30
มะปรางหวาน,10,2,12,0
มะม่วง,354,286,640,"3,900.00"
มะยงชิด,13,9,22,0
มะยม,1,0,1,0
มังคุด,5,2,7,0
ส้มโอ,100.25,32.25,132.5,0
ไม้ยืนต้น,"11,299.00","6,477.75","17,776.75","468,805.00"
ปาล์มน้ำมัน,164,112,276,"453,000.00"
มะพร้าว,10,517,527,0
ยางพารา,125,456.75,581.75,"2,205.00"
ยูคาลิปตัส,740,"2,640.00","3,380.00",0
ไม้สัก,0,2,2,0
ไผ่,"10,260.00","2,746.00","13,006.00","13,600.00"
ไม้ยืนต้นอื่นๆ,0,4,4,0
สมุนไพรและเครื่องเทศ (รต.02),298,171,469,0
กฤษณา,275,170,445,0
สมุนไพรอื่นๆ,1,1,2,0
พลู,22,0,22,0
ศรีมหาโพธิ,"3,860.00","1,466.00","5,326.00","5,928,480.00"
ไม้ผล,"3,705.00","1,394.00","5,099.00","5,914,980.00"
กระท้อน,123,50,173,"84,400.00"
กล้วยน้ำว้า,72,37,109,"74,300.00"
กล้วยหอม,0,1,1,0
เงาะ,39,3,42,"50,500.00"
ทุเรียน,14,9,23,"240,000.00"
ฝรั่ง,0,6,6,0
มะนาว,75,23,98,"142,500.00"
มะปรางหวาน,91,27,118,"188,400.00"
มะไฟ,0,1,1,0
มะม่วง,"1,916.00",840,"2,756.00","3,830,000.00"
มะยงชิด,10,0,10,"14,400.00"
มะละกอ,133,67,200,"77,700.00"
มังคุด,96,0,96,"45,600.00"
ลองกอง,44,30,74,"12,780.00"
ลำไย,0,16,16,0
ส้มโอ,"1,092.00",226,"1,318.00","1,154,400.00"
ไม้ผลอื่นๆ,0,58,58,0
ไม้ยืนต้น,155,72,227,"13,500.00"
ปาล์มน้ำมัน,70,0,70,0
มะพร้าว,75,0,75,"13,500.00"
ยางพารา,10,72,82,0
ศรีมโหสถ,784,632,"1,416.00","1,127,962.00"
ไม้ผล,768,601,"1,369.00","1,109,450.00"
กล้วยน้ำว้า,100,76,176,"8,450.00"
มะนาว,30,15,45,"3,000.00"
มะม่วง,148,158,306,"78,000.00"
ส้มโอ,430,292,722,"960,000.00"
ไม้ผลอื่นๆ,60,60,120,"60,000.00"
ไม้ยืนต้น,16,31,47,"18,512.00"
มะพร้าว,16,16,32,"18,512.00"
ไม้ยืนต้นอื่นๆ,0,15,15,0
ปัตตานี,"23,215.33","1,605.75","24,821.08","514,052.00"
เมืองปัตตานี,"1,950.39",17,"1,967.39",0
ไม้ผล,15.12,0,15.12,0
มังคุด,6.58,0,6.58,0
ลองกอง,8.54,0,8.54,0
ไม้ยืนต้น,"1,935.27",17,"1,952.27",0
ปาล์มน้ำมัน,192.17,0,192.17,0
มะพร้าว,357.3,1,358.3,0
ยางพารา,"1,385.80",16,"1,401.80",0
ทุ่งยางแดง,441.5,123,564.5,"161,600.00"
ไม้ยืนต้น,441.5,121,562.5,"161,600.00"
ปาล์มน้ำมัน,441.5,121,562.5,"161,600.00"
สมุนไพรและเครื่องเทศ (รต.02),0,2,2,0
พริกไทย,0,2,2,0
กะพ้อ,"20,823.44","1,465.75","22,289.19","352,452.00"
ไม้ผล,"1,425.84",676.75,"2,102.59",0
เงาะ,56,0,56,0
ทุเรียน,158.5,7.5,166,0
มังคุด,74.34,12.25,86.59,0
ลองกอง,"1,137.00",657,"1,794.00",0
ไม้ยืนต้น,"19,397.60",789,"20,186.60","352,452.00"
ปาล์มน้ำมัน,22.6,9,31.6,"5,672.00"
มะพร้าว,652,12,664,"65,380.00"
ยางพารา,"18,723.00",768,"19,491.00","281,400.00"
พระนครศรีอยุธยา,"4,319.50","10,883.50","15,203.00","4,551,099.75"
พระนครศรีอยุธยา,2,223.5,225.5,0
ไม้ผล,2,204,206,0
กล้วยน้ำว้า,0,93,93,0
กล้วยหอม,0,28.5,28.5,0
ฝรั่ง,2,3,5,0
มะนาว,0,11,11,0
มะม่วง,0,68.5,68.5,0
ไม้ยืนต้น,0,19.5,19.5,0
มะพร้าว,0,6.5,6.5,0
ไผ่,0,13,13,0
ท่าเรือ,399.5,316,715.5,"2,902,727.00"
ไม้ผล,372.5,217,589.5,"2,839,847.00"
กล้วยไข่,14.5,0,14.5,"213,600.00"
กล้วยน้ำว้า,100,169,269,"435,600.00"
กล้วยหอม,54.25,0,54.25,"355,800.00"
ฝรั่ง,16,26,42,"166,200.00"
มะนาว,21.75,19,40.75,"126,056.00"
มะม่วง,134,0,134,"1,277,400.00"
มะละกอ,32,3,35,"265,191.00"
ไม้ยืนต้น,27,99,126,"62,880.00"
มะพร้าว,27,99,126,"62,880.00"
นครหลวง,166.75,57.75,224.5,"47,914.50"
ไม้ผล,116.25,51.25,167.5,"35,439.50"
กล้วยน้ำว้า,49.25,36.25,85.5,"6,687.50"
กล้วยหอม,12,12,24,"2,926.00"
มะนาว,1,0,1,0
ไม้ผลอื่นๆ,54,3,57,"25,826.00"
ไม้ยืนต้น,50.5,6.5,57,"12,475.00"
มะพร้าว,40.5,6.5,47,"11,325.00"
ไผ่,10,0,10,"1,150.00"
บางไทร,549.25,"3,162.00","3,711.25",120
ไม้ผล,403,558,961,101
กล้วยน้ำว้า,221,126,347,61
กล้วยหอม,56,6,62,0
ขนุนหนัง,5,0,5,0
ฝรั่ง,16,8,24,0
มะกรูด,2,2,4,0
มะนาว,0,15,15,0
มะม่วง,100,394,494,40
มะละกอ,3,7,10,0
ไม้ยืนต้น,144.25,"2,602.00","2,746.25",19
ปาล์มน้ำมัน,47,47,94,0
มะพร้าว,66.25,"2,555.00","2,621.25",15
ไผ่,31,0,31,4
สมุนไพรและเครื่องเทศ (รต.02),2,2,4,0
ยอบ้าน,0,2,2,0
สมุนไพรอื่นๆ,2,0,2,0
บางบาล,0,"1,961.50","1,961.50",0
ไม้ผล,0,"1,891.00","1,891.00",0
กล้วยไข่,0,462,462,0
กล้วยน้ำว้า,0,647,647,0
กล้วยหอม,0,629,629,0
ฝรั่ง,0,8,8,0
มะนาว,0,25,25,0
มะม่วง,0,119,119,0
มะละกอ,0,1,1,0
ไม้ยืนต้น,0,70.5,70.5,0
มะพร้าว,0,70.5,70.5,0
บางปะอิน,170,853,"1,023.00",0
ไม้ผล,170,853,"1,023.00",0
กล้วยน้ำว้า,159,156,315,0
มะม่วง,11,88,99,0
ไม้ผลอื่นๆ,0,609,609,0
บางปะหัน,284.5,156.25,440.75,"132,482.75"
ไม้ผล,263,149.75,412.75,"129,132.75"
กล้วยไข่,0.75,0,0.75,100
กล้วยน้ำว้า,109.5,50,159.5,"87,260.00"
กล้วยหอม,39.75,5,44.75,"28,552.75"
ขนุนหนัง,0,0.5,0.5,0
ทุเรียน,0,0,0,0
ฝรั่ง,16,8.5,24.5,120
พุทรา,15,5,20,"4,300.00"
มะกรูด,0,2.5,2.5,0
มะนาว,34,28.25,62.25,"6,850.00"
มะม่วง,38,39,77,"1,750.00"
มะยงชิด,0,1,1,0
มะละกอ,10,10,20,200
ไม้ยืนต้น,21.5,6.5,28,"3,350.00"
มะพร้าว,5,6.5,11.5,"1,800.00"
ไผ่,6.5,0,6.5,"1,500.00"
อินทผาลัม,10,0,10,50
ผักไห่,795,457,"1,252.00","160,301.00"
ไม้ผล,750,403,"1,153.00","158,201.00"
กล้วยไข่,4,0,4,"4,065.00"
กล้วยน้ำว้า,398,220,618,"132,119.00"
กล้วยหอม,5,2,7,"2,322.00"
มะขามเทศ,0,2,2,0
มะนาว,6,18,24,"2,865.00"
มะม่วง,337,159,496,"16,830.00"
มะละกอ,0,2,2,0
ไม้ยืนต้น,45,54,99,"2,100.00"
ปาล์มน้ำมัน,31,31,62,"1,500.00"
มะพร้าว,14,17,31,600
ไผ่,0,6,6,0
ภาชี,0,185,185,0
ไม้ยืนต้น,0,185,185,0
ปาล์มน้ำมัน,0,164,164,0
มะพร้าว,0,21,21,0
ลาดบัวหลวง,620,"1,199.50","1,819.50","673,700.00"
ไม้ผล,506,957,"1,463.00","659,800.00"
กระท้อน,5,5,10,0
กล้วยน้ำว้า,23,132.75,155.75,"73,600.00"
กล้วยหอม,5,19.5,24.5,"17,500.00"
ขนุนหนัง,0,10,10,0
ทุเรียน,0,3.75,3.75,0
ฝรั่ง,2.5,24,26.5,"10,000.00"
มะกรูด,20,0,20,0
มะนาว,6,28,34,"5,750.00"
มะม่วง,331.5,582,913.5,"316,700.00"
มะละกอ,8,42,50,0
ส้มเขียวหวาน,0,4,4,0
ส้มโอ,105,105,210,"236,250.00"
แก้วมังกร,0,1,1,0
ไม้ยืนต้น,114,242.5,356.5,"13,900.00"
ปาล์มน้ำมัน,33,0,33,"10,200.00"
มะพร้าว,54,205.5,259.5,"3,700.00"
ยางพารา,0,7,7,0
หมาก,0,9,9,0
ไผ่,19,1,20,0
อินทผาลัม,8,20,28,0
วังน้อย,324.25,335,659.25,"383,612.50"
ไม้ผล,205,313,518,0
กล้วยน้ำว้า,40,100,140,0
กล้วยหอม,140,140,280,0
ฝรั่ง,15,15,30,0
มะนาว,10,26,36,0
มะม่วง,0,30,30,0
ไม้ผลอื่นๆ,0,2,2,0
ไม้ยืนต้น,119.25,22,141.25,"383,612.50"
ปาล์มน้ำมัน,119.25,0,119.25,"383,612.50"
มะพร้าว,0,13,13,0
ไผ่,0,9,9,0
เสนา,125,341,466,0
ไม้ผล,123,339,462,0
กล้วยน้ำว้า,64,143,207,0
กล้วยหอม,1,0,1,0
มะนาว,28,85.5,113.5,0
มะม่วง,30,110,140,0
ไม้ผลอื่นๆ,0,0.5,0.5,0
ไม้ยืนต้น,2,2,4,0
มะพร้าว,2,0,2,0
ไม้ยืนต้นอื่นๆ,0,2,2,0
บางซ้าย,527.25,686.5,"1,213.75","205,372.00"
ไม้ผล,288.5,490.25,778.75,392
กล้วยน้ำว้า,25,125.75,150.75,0
ฝรั่ง,3,18,21,0
มะขามเทศ,3,7,10,0
มะนาว,21,36,57,0
มะม่วง,75.5,105.5,181,0
ส้มโอ,0,5,5,0
แก้วมังกร,0,3,3,0
ไม้ผลอื่นๆ,161,190,351,392
ไม้ยืนต้น,238.75,196.25,435,"204,980.00"
ปาล์มน้ำมัน,116.75,42,158.75,"204,980.00"
มะพร้าว,79,99,178,0
ยูคาลิปตัส,17,29.25,46.25,0
ไผ่,26,26,52,0
อุทัย,185.5,113.5,299,"39,850.00"
ไม้ผล,171.5,83.5,255,"36,550.00"
กล้วยน้ำว้า,40,40,80,0
กล้วยหอม,88,0,88,0
น้อยหน่า,3,3,6,100
มะม่วง,31.5,31.5,63,"9,450.00"
มะละกอ,9,9,18,"27,000.00"
ไม้ยืนต้น,14,30,44,"3,300.00"
มะพร้าว,3,15,18,0
ไผ่,0,4,4,0
อินทผาลัม,11,11,22,"3,300.00"
มหาราช,110.5,375,485.5,"5,020.00"
ไม้ผล,101.5,363.5,465,"5,020.00"
กระท้อน,0,1.25,1.25,0
กล้วยน้ำว้า,47,129,176,"4,500.00"
กล้วยหอม,4,10.5,14.5,0
ขนุนหนัง,0,0.25,0.25,0
น้อยหน่า,1,5,6,120
ฝรั่ง,5.5,8.25,13.75,200
มะกรูด,1,0,1,0
มะขามเทศ,0,2,2,0
มะดัน,0,8.5,8.5,0
มะนาว,5,23.75,28.75,200
มะม่วง,35,132,167,0
มะละกอ,2,2,4,0
ละมุด,1,33,34,0
ส้มโอ,0,1,1,0
แก้วมังกร,0,2,2,0
ไม้ผลอื่นๆ,0,5,5,0
ไม้ยืนต้น,9,11.5,20.5,0
มะพร้าว,3,11.25,14.25,0
ไผ่,6,0,6,0
พยุง,0,0.25,0.25,0
บ้านแพรก,60,461,521,0
ไม้ผล,59,435,494,0
กล้วยน้ำว้า,49,194,243,0
ฝรั่ง,0,2,2,0
มะกรูด,0,2,2,0
มะนาว,0,106.5,106.5,0
มะม่วง,10,130.5,140.5,0
ไม้ยืนต้น,1,26,27,0
มะพร้าว,0,20,20,0
ไผ่,1,6,7,0
พะเยา,"212,869.25","98,215.25","311,084.50","164,652,515.00"
เมืองพะเยา,"22,831.25","9,081.25","31,912.50","2,139,897.00"
ไม้ผล,"4,055.25",405,"4,460.25","1,467,500.00"
กระท้อน,58,0,58,0
กล้วยน้ำว้า,297,100,397,0
กล้วยหอม,12,21,33,0
เงาะ,4,6,10,0
ทุเรียน,1,59,60,0
ฝรั่ง,11,0,11,0
มะขาม,189,0,189,0
มะนาว,141,30,171,0
มะม่วง,46,0,46,0
ลองกอง,2,4,6,0
ลำไย,"2,953.25",185,"3,138.25","1,467,500.00"
ลิ้นจี่,321,0,321,0
องุ่น,20,0,20,0
ไม้ยืนต้น,"18,776.00","8,676.25","27,452.25","672,397.00"
ปาล์มน้ำมัน,25,120.25,145.25,0
มะพร้าว,0,53,53,0
ยางพารา,"17,930.00","8,502.00","26,432.00","672,397.00"
ยูคาลิปตัส,34,0,34,0
ไม้สัก,44,0,44,0
ไผ่,743,1,744,0
จุน,"14,046.00","12,817.00","26,863.00","3,537,720.00"
ไม้ผล,"8,077.00",12,"8,089.00","3,537,720.00"
ลำไย,"8,013.00",0,"8,013.00","3,525,720.00"
แก้วมังกร,64,12,76,"12,000.00"
ไม้ยืนต้น,"5,969.00","12,805.00","18,774.00",0
ปาล์มน้ำมัน,20,195,215,0
ยางพารา,"5,949.00","12,610.00","18,559.00",0
เชียงคำ,"47,282.50","36,781.75","84,064.25","27,593,800.00"
ไม้ผล,"23,151.75","2,538.25","25,690.00","16,021,600.00"
เงาะ,19,0,19,0
มะขาม,79,0,79,0
มะม่วง,"1,301.00",366,"1,667.00","676,300.00"
ลำไย,"21,736.75","2,172.25","23,909.00","15,340,500.00"
ลิ้นจี่,16,0,16,"4,800.00"
ไม้ยืนต้น,"24,130.75","34,243.50","58,374.25","11,572,200.00"
กาแฟ,162,0,162,0
ปาล์มน้ำมัน,0,402,402,0
ยางพารา,"23,893.75","33,611.50","57,505.25","11,572,200.00"
ไม้สัก,60,200,260,0
ไผ่,15,30,45,0
เชียงม่วน,"13,818.50","3,226.00","17,044.50",0
ไม้ผล,"7,835.50","2,147.00","9,982.50",0
กล้วยน้ำว้า,26,0,26,0
กล้วยหอม,4,0,4,0
เงาะ,0,1,1,0
มะขาม,"1,732.00",920,"2,652.00",0
มะม่วง,"1,282.00",0,"1,282.00",0
ลำไย,"4,727.50","1,200.00","5,927.50",0
ลิ้นจี่,7,0,7,0
ส้มเขียวหวาน,0,24,24,0
ส้มโอ,57,0,57,0
เสาวรส,0,2,2,0
ไม้ยืนต้น,"5,966.00","1,076.00","7,042.00",0
ปาล์มน้ำมัน,790,250,"1,040.00",0
มะม่วงหิมพานต์,30,0,30,0
ยางพารา,"5,134.00",826,"5,960.00",0
ไผ่,12,0,12,0
สมุนไพรและเครื่องเทศ (รต.02),17,3,20,0
กฤษณา,17,3,20,0
ดอกคำใต้,"14,711.00","2,274.50","16,985.50","3,888,899.00"
ไม้ผล,"9,181.25",91.5,"9,272.75","2,983,105.00"
กระท้อน,1,0,1,0
กล้วยน้ำว้า,711,45,756,"2,109,570.00"
มะขาม,800,0,800,"261,193.00"
มะนาว,47.5,16.5,64,"80,600.00"
มะม่วง,380,0,380,"246,862.00"
มะละกอ,21,0,21,"21,100.00"
