พื้นที่,เนื้อที่ปลูก,ผลผลิต
บางระกำ,"376,383.05","127,189,445.00"
บางกระทุ่ม,"218,651.00","256,954,500.00"
พรหมพิราม,"348,660.00","225,315,147.00"
วัดโบสถ์,"190,485.25","248,613,406.00"
วังทอง,"313,576.00","152,361,550.05"
เนินมะปราง,"171,769.75","206,307,686.00"
เมืองเพชรบุรี,"99,063.00","59,386,766.00"
เขาย้อย,"89,610.75","40,515,855.00"
หนองหญ้าปล้อง,"52,334.75","58,705,762.00"
ชะอำ,"63,766.40","42,144,403.00"
ท่ายาง,"113,888.50","224,959,860.00"
บ้านลาด,"66,781.50","48,927,735.00"
บ้านแหลม,"9,950.00","7,473,500.00"
แก่งกระจาน,"19,479.25","15,205,280.00"
เมืองเพชรบูรณ์,"364,445.50","186,201,497.00"
ชนแดน,"396,597.00","315,950,574.00"
หล่มสัก,"254,284.50","169,103,052.00"
หล่มเก่า,"259,040.25","206,904,385.00"
วิเชียรบุรี,"380,153.00","1,430,058,400.00"
ศรีเทพ,"319,642.00","1,063,820,750.00"
หนองไผ่,"410,784.00","444,311,135.00"
บึงสามพัน,"361,990.00","1,183,680,336.00"
น้ำหนาว,"81,696.00","74,445,961.00"
วังโป่ง,"126,207.75","98,693,400.00"
เขาค้อ,"25,282.05","25,757,844.00"
เมืองแพร่,"76,188.75","44,712,660.00"
ร้องกวาง,"115,144.00","67,876,511.00"
ลอง,"82,059.38","40,882,100.00"
สูงเม่น,"61,145.50","46,366,475.00"
เด่นชัย,"35,279.00","23,983,000.01"
สอง,"122,421.00","72,139,650.00"
วังชิ้น,"62,901.50","37,782,100.05"
หนองม่วงไข่,"32,568.00","18,285,376.00"
เมืองภูเก็ต,50.75,"166,230.00"
กะทู้,6,600
ถลาง,"2,760.50","5,480,044.00"
เมืองมหาสารคาม,"203,476.25","71,880,184.50"
แกดำ,"76,922.50","40,713,002.50"
โกสุมพิสัย,"330,748.00","339,540,395.00"
กันทรวิชัย,"180,011.95","86,357,147.00"
เชียงยืน,"160,867.75","134,131,990.00"
บรบือ,"325,157.25","263,164,086.02"
นาเชือก,"177,640.00","92,629,710.00"
พยัคฆภูมิพิสัย,"291,207.50","100,480,405.00"
วาปีปทุม,"306,016.00","221,304,813.00"
นาดูน,"114,872.00","57,105,400.00"
ยางสีสุราช,"93,632.25","34,384,843.25"
กุดรัง,"172,011.75","116,389,685.00"
ชื่นชม,"65,365.00","11,751,660.00"
เมืองมุกดาหาร,"280,550.50","922,454,807.00"
นิคมคำสร้อย,"76,141.52","178,392,750.00"
ดอนตาล,"114,000.78","223,299,490.00"
ดงหลวง,"126,658.00","218,169,400.00"
คำชะอี,"76,826.00","57,492,359.00"
หนองสูง,"38,552.75","45,209,515.00"
เมืองแม่ฮ่องสอน,"35,964.50","17,849,254.00"
ขุนยวม,"34,882.50","22,927,933.00"
ปาย,"45,990.00","18,246,267.00"
แม่สะเรียง,"56,245.00","72,734,700.00"
แม่ลาน้อย,"75,991.00","42,887,190.00"
สบเมย,"49,162.00","24,415,900.00"
ปางมะผ้า,"56,712.25","40,593,757.50"
เมืองยโสธร,"267,387.25","117,974,990.09"
ทรายมูล,"83,540.00","30,681,980.00"
กุดชุม,"165,558.00","81,225,260.00"
คำเขื่อนแก้ว,"223,894.00","74,796,453.00"
ป่าติ้ว,"119,006.75","49,531,382.50"
มหาชนะชัย,"187,293.00","67,891,200.00"
ค้อวัง,"93,441.00","36,930,500.00"
เลิงนกทา,"226,460.00","102,106,400.00"
ไทยเจริญ,"111,802.40","99,456,533.75"
เมืองยะลา,87,"1,870.00"
เบตง,685,"191,310.00"
ธารโต,34,0
ยะหา,170,"18,606.00"
รามัน,"10,634.24","3,758,024.00"
กาบัง,9,0
เมืองร้อยเอ็ด,"188,948.35","67,334,362.50"
เกษตรวิสัย,"413,712.25","111,783,597.15"
ปทุมรัตต์,"171,633.00","65,674,700.25"
จตุรพักตรพิมาน,"216,818.75","83,483,275.00"
ธวัชบุรี,"163,648.00","62,145,378.00"
พนมไพร,"191,919.00","43,048,800.00"
โพนทอง,"236,187.00","153,031,160.00"
โพธิ์ชัย,"169,610.00","231,166,578.72"
หนองพอก,"138,568.50","255,507,640.00"
เสลภูมิ,"382,908.36","79,459,368.50"
สุวรรณภูมิ,"375,280.00","88,596,400.00"
เมืองสรวง,"68,773.47","24,793,005.00"
โพนทราย,"125,090.64","52,310,470.00"
อาจสามารถ,"196,311.61","61,599,664.15"
เมยวดี,"71,616.25","142,039,909.25"
ศรีสมเด็จ,"90,235.50","36,983,466.50"
จังหาร,"97,331.75","26,632,706.50"
เชียงขวัญ,"84,331.00","11,487,388.25"
หนองฮี,"61,747.00","23,566,018.00"
ทุ่งเขาหลวง,"62,601.90","10,915,158.29"
