AD_LEVEL,TA_ID,TAMBON_T,TAMBON_E,AM_ID,AMPHOE_T,AMPHOE_E,CH_ID,CHANGWAT_T,CHANGWAT_E,LAT,LONG,province,district
4,400601,ต. สีชมพู,Si Chomphu,4006,อ. สีชมพู,Si Chomphu,40,จ. ขอนแก่น,Khon Kaen,16.840999999999998,102.156,ขอนแก่น,สีชมพู
4,461106,ต. ดงสมบูรณ์,Dong Sombun,4611,อ. ท่าคันโท,Tha Khantho,46,จ. กาฬสินธุ์,Kalasin,16.869,103.366,กาฬสินธุ์,ท่าคันโท
4,350201,ต. ทรายมูล,Sai Mun,3502,อ. ทรายมูล,Sai Mun,35,จ. ยโสธร,Yasothon,15.956,104.22399999999999,ยโสธร,ทรายมูล
4,900701,ต. ระโนด,Ra Not,9007,อ. ระโนด,Ranot,90,จ. สงขลา,Songkhla,7.728,100.26700000000001,สงขลา,ระโนด
4,210318,ต. สองสลึง,Song Salueng,2103,อ. แกลง,Klaeng,21,จ. ระยอง,Rayong,12.743,101.54799999999999,ระยอง,แกลง
4,660204,ต. หนองปล้อง,Nong Plong,6602,อ. วังทรายพูน,Wang Sai Phun,66,จ. พิจิตร,Phichit,16.339000000000002,100.50399999999999,พิจิตร,วังทรายพูน
4,471102,ต. โพนแพง,Phon Phaeng,4711,อ. อากาศอำนวย,Akat Amnuai,47,จ. สกลนคร,Sakon Nakhon,17.538,103.956,สกลนคร,อากาศอำนวย
4,342204,ต. ค้อน้อย,Kho Noi,3422,อ. สำโรง,Samrong,34,จ. อุบลราชธานี,Ubon Ratchathani,14.922,104.81200000000001,อุบลราชธานี,สำโรง
4,920602,ต. หนองช้างแล่น,Nong Chang Laen,9206,อ. ห้วยยอด,Huai Yot,92,จ. ตรัง,Trang,7.84,99.585,ตรัง,ห้วยยอด
4,610509,ต. ดงขวาง,Dong Khwang,6105,อ. หนองขาหย่าง,Nong Khayang,61,จ. อุทัยธานี,Uthai Thani,15.315,99.999,อุทัยธานี,หนองขาหย่าง
4,921003,ต. ตะเสะ,Tase,9210,อ. หาดสำราญ,Hat Samran,92,จ. ตรัง,Trang,7.183,99.59899999999999,ตรัง,หาดสำราญ
4,321010,ต. สะกาด,Sakat,3210,อ. สังขะ,Sangkha,32,จ. สุรินทร์,Surin,14.612,103.75299999999999,สุรินทร์,สังขะ
4,620704,ต. โนนพลวง,Non Phluang,6207,อ. ลานกระบือ,Lan Krabue,62,จ. กำแพงเพชร,Kamphaeng Phet,16.56,99.85700000000001,กำแพงเพชร,ลานกระบือ
4,360706,ต. เกาะมะนาว,Ko Manao,3607,อ. บำเหน็จณรงค์,Bamnet Narong,36,จ. ชัยภูมิ,Chaiyaphum,15.504000000000001,101.61,ชัยภูมิ,บำเหน็จณรงค์
4,331901,ต. เสียว,Siao,3319,อ. เบญจลักษ์,Benchalak,33,จ. ศรีสะเกษ,Si Sa Ket,14.799000000000001,104.66799999999999,ศรีสะเกษ,เบญจลักษ์
4,380207,ต. ศรีสำราญ,,3802,อ. พรเจริญ,Phon Charoen,38,จ. บึงกาฬ,Bueng Kan,18.121,103.646,บึงกาฬ,พรเจริญ
4,310903,ต. บ้านจาน,Ban Chan,3109,อ. พุทไธสง,Phutthaisong,31,จ. บุรีรัมย์,Buri Ram,15.507,102.98299999999999,บุรีรัมย์,พุทไธสง
4,950608,ต. ท่าธง,Tha Thong,9506,อ. รามัน,Raman,95,จ. ยะลา,Yala,6.565,101.458,ยะลา,รามัน
4,421204,ต. โนนป่าซาง,Non Pa Sang,4212,อ. ผาขาว,Pha  Khao,42,จ. เลย,Loei,17.102,102.052,เลย,ผาขาว
4,350112,ต. เขื่องคำ,Khueang Kham,3501,อ. เมืองยโสธร,Mueang Yasothon,35,จ. ยโสธร,Yasothon,15.74,104.16,ยโสธร,เมืองยโสธร
4,471105,ต. ท่าก้อน,Tha Kon,4711,อ. อากาศอำนวย,Akat Amnuai,47,จ. สกลนคร,Sakon Nakhon,17.759,103.961,สกลนคร,อากาศอำนวย
4,312303,ต. อีสานเขต,Isan Khet,3123,อ. เฉลิมพระเกียรติ,Chaloem Phra Kiet,31,จ. บุรีรัมย์,Buri Ram,14.640999999999998,102.931,บุรีรัมย์,เฉลิมพระเกียรติ
4,341905,ต. ทรายมูล,Sai Mun,3419,อ. พิบูลมังสาหาร,Phibun Mangsahan,34,จ. อุบลราชธานี,Ubon Ratchathani,15.304,105.344,อุบลราชธานี,พิบูลมังสาหาร
