พื้นที่,เนื้อที่ยืนต้น ให้ผลผลิต (ไร่),เนื้อที่ยืนต้น ยังไม่ให้ผลผลิต (ไร่),รวม (ไร่),ผลผลิตที่เก็บเกี่ยวได้ (กิโลกรัม)
ทุ่งตะโก,"116,230.00","13,854.00","130,084.00","90,758,804.00"
เมืองเชียงราย,"61,835.00","13,307.00","75,142.00","14,966,266.33"
มะขาม,198,0,198,"79,200.00"
เวียงชัย,"10,122.25","10,845.00","20,967.25","30,490,267.00"
เชียงของ,"35,265.00","26,881.00","62,146.00","11,755,542.50"
เทิง,"54,232.50","25,550.00","79,782.50","14,342,850.00"
มะขาม,19,4,23,0
พาน,"26,185.00","4,582.75","30,767.75","8,664,450.00"
ป่าแดด,"31,620.00","35,166.00","66,786.00","19,131,500.00"
แม่จัน,"8,567.75","3,599.00","12,166.75","1,022,476.50"
เชียงแสน,"14,428.00","6,429.00","20,857.00","1,000,000.00"
แม่สาย,"1,986.25","8,612.00","10,598.25","2,499,685.99"
แม่สรวย,"107,959.79","35,898.75","143,858.54","76,761,980.00"
เวียงป่าเป้า,"31,662.75","12,833.25","44,496.00","17,889,820.00"
พญาเม็งราย,"35,366.00","15,174.00","50,540.00","17,900,500.00"
มะขาม,112,0,112,"4,000.00"
เวียงแก่น,"27,185.00","7,792.00","34,977.00","36,609,409.00"
ขุนตาล,"6,915.00","1,236.00","8,151.00","2,772,210.00"
แม่ฟ้าหลวง,"107,406.40","29,392.00","136,798.40","14,020,880.00"
แม่ลาว,"3,985.00","3,778.00","7,763.00","6,841,611.50"
เวียงเชียงรุ้ง,"14,622.00","5,005.00","19,627.00","2,200,824.00"
ดอยหลวง,"17,317.20","8,762.20","26,079.40","143,600.00"
เมืองเชียงใหม่,"2,442.75",136,"2,578.75","584,444.00"
จอมทอง,"56,790.00","4,652.00","61,442.00","34,232,240.00"
แม่แจ่ม,"2,911.25","1,368.50","4,279.75","333,200.00"
มะขาม,57,0,57,0
เชียงดาว,"46,349.00",796,"47,145.00","37,518,100.00"
ดอยสะเก็ด,"15,549.25",801,"16,350.25","4,035,545.00"
มะขาม,50,0,50,0
แม่แตง,"49,314.00","2,757.00","52,071.00","32,649,970.00"
มะขาม,34,30,64,0
แม่ริม,"8,222.00","2,524.75","10,746.75","2,568,900.00"
มะขาม,40,0,40,"29,000.00"
สะเมิง,"3,248.00","1,242.25","4,490.25","4,248,550.00"
ฝาง,"57,009.00","8,837.00","65,846.00","65,367,340.00"
แม่อาย,"27,746.00","1,052.00","28,798.00","28,173,830.00"
พร้าว,"48,581.00","3,900.00","52,481.00","40,012,878.00"
สันป่าตอง,"26,270.25","1,148.75","27,419.00","15,800,709.00"
สันกำแพง,"2,854.00",722,"3,576.00","2,485,280.00"
สันทราย,"9,824.25",910.5,"10,734.75","2,036,137.50"
มะขาม,1,0,1,600
หางดง,"14,820.00","2,575.00","17,395.00","7,516,443.50"
ฮอด,"18,560.50","3,087.50","21,648.00","1,099,600.00"
ดอยเต่า,"36,408.00","6,305.00","42,713.00","9,233,980.00"
อมก๋อย,"1,428.00","9,800.00","11,228.00","156,618.00"
สารภี,"26,541.00","4,191.00","30,732.00","20,460,800.00"
